,dep,dep_pos,dep_w,pred
10,_PLACEHOLDER_SUB_ <- acomp <- is -> attr -> coaster -> acl -> built -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is coaster built by _PLACEHOLDER_OBJ_,www.freebase.com/amusement_parks/ride/manufacturer
11,_PLACEHOLDER_OBJ_ <- nsubj <- is -> ccomp -> is -> nsubj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ is is _PLACEHOLDER_SUB_,www.freebase.com/amusement_parks/ride/park
12,_PLACEHOLDER_SUB_ <- nsubj <- s -> conj -> is -> attr -> ride -> compound -> _PLACEHOLDER_OBJ_,VERB VERB NOUN,_PLACEHOLDER_SUB_ s is ride _PLACEHOLDER_OBJ_,www.freebase.com/amusement_parks/ride/ride_type
13,_PLACEHOLDER_SUB_ <- acomp <- is -> attr -> coaster -> amod -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is coaster _PLACEHOLDER_OBJ_,www.freebase.com/amusement_parks/roller_coaster/material
14,_PLACEHOLDER_OBJ_ <- nsubj <- was -> ccomp -> achieved -> nsubj -> _PLACEHOLDER_SUB_,ADP VERB NOUN,_PLACEHOLDER_SUB_ with spread style _PLACEHOLDER_OBJ_,www.freebase.com/architecture/architect/architectural_style
15,_PLACEHOLDER_OBJ_ -> acl -> designed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ designed by _PLACEHOLDER_SUB_,www.freebase.com/architecture/architect/structures_designed
16,_PLACEHOLDER_OBJ_ <- npadvmod <- was -> nsubj -> PC -> compound -> _PLACEHOLDER_SUB_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ owned by city of _PLACEHOLDER_OBJ_,www.freebase.com/architecture/architectural_structure_owner/structures_owned
17,_PLACEHOLDER_SUB_ <- amod <- architect -> appos -> _PLACEHOLDER_OBJ_,NOUN,_PLACEHOLDER_SUB_ architect _PLACEHOLDER_OBJ_,www.freebase.com/architecture/architectural_style/architects
18,_PLACEHOLDER_OBJ_ -> prep -> as -> pobj -> _PLACEHOLDER_SUB_,ADP,_PLACEHOLDER_OBJ_ as _PLACEHOLDER_SUB_,www.freebase.com/architecture/architecture_firm/firm_partners
19,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is complex located in _PLACEHOLDER_OBJ_,www.freebase.com/architecture/building/building_complex
20,_PLACEHOLDER_OBJ_ -> acl -> housing -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is building _PLACEHOLDER_OBJ_,www.freebase.com/architecture/building/building_function
21,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> venue -> prep -> for -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is venue for _PLACEHOLDER_SUB_,www.freebase.com/architecture/building/occupant
22,_PLACEHOLDER_OBJ_ -> appos -> Hermitage -> conj -> Hermitage -> conj -> _PLACEHOLDER_SUB_,PROPN PROPN,_PLACEHOLDER_OBJ_ Hermitage Hermitage _PLACEHOLDER_SUB_,www.freebase.com/architecture/building_complex/buildings_in_complex
23,_PLACEHOLDER_OBJ_ <- nsubj <- are -> attr -> team -> acl -> based -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ are team based in _PLACEHOLDER_SUB_,www.freebase.com/architecture/building_occupant/buildings_occupied
24,_PLACEHOLDER_OBJ_ <- nsubjpass <- designed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was engineer of _PLACEHOLDER_OBJ_,www.freebase.com/architecture/engineer/projects
25,_PLACEHOLDER_SUB_ <- nsubjpass <- founded -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ founded by _PLACEHOLDER_OBJ_,www.freebase.com/architecture/engineering_firm/partners
26,_PLACEHOLDER_OBJ_ <- nsubj <- was <- nmod <- parks -> prep -> including -> dobj -> Park -> conj -> _PLACEHOLDER_SUB_,VERB NOUN VERB PROPN,_PLACEHOLDER_OBJ_ was parks including Park _PLACEHOLDER_SUB_,www.freebase.com/architecture/landscape_project/landscape_architect
27,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> director -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is director of _PLACEHOLDER_SUB_,www.freebase.com/architecture/museum/director
28,_PLACEHOLDER_OBJ_ -> acl -> located -> prep -> at -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ houses collections of _PLACEHOLDER_OBJ_,www.freebase.com/architecture/museum/type_of_museum
29,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> director -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ was director of _PLACEHOLDER_OBJ_,www.freebase.com/architecture/museum_director/museum
30,_PLACEHOLDER_OBJ_ -> appos -> was -> conj -> is -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was architect of _PLACEHOLDER_SUB_,www.freebase.com/architecture/structure/architect
31,_PLACEHOLDER_OBJ_ <- compound <- cathedral -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is structure _PLACEHOLDER_OBJ_,www.freebase.com/architecture/structure/architectural_style
32,_PLACEHOLDER_SUB_ <- nsubjpass <- designed -> agent -> by -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP NOUN,_PLACEHOLDER_SUB_ designed by firm _PLACEHOLDER_OBJ_,www.freebase.com/architecture/structure/architecture_firm
33,_PLACEHOLDER_OBJ_ <- nsubj <- is -> advcl -> designing -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ was engineer of _PLACEHOLDER_SUB_,www.freebase.com/architecture/structure/engineer
34,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> home -> poss -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ commissioned reigned _PLACEHOLDER_SUB_,www.freebase.com/architecture/structure/owner
35,_PLACEHOLDER_SUB_ -> conj -> is -> nsubj -> family -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ is family _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/asteroid/member_of_asteroid_family
36,_PLACEHOLDER_SUB_ -> ccomp -> is -> attr -> asteroid -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ has albedo of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/asteroid/member_of_asteroid_group
37,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB NUM NOUN,_PLACEHOLDER_SUB_ is 34 asteroid _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/asteroid/spectral_type
38,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> namesake -> prep -> of -> pobj -> asteroids -> compound -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is namesake of asteroids _PLACEHOLDER_SUB_,www.freebase.com/astronomy/asteroid_group/asteroid_group_founding_member
39,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> namesake -> prep -> of -> pobj -> asteroids -> compound -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is namesake of asteroids _PLACEHOLDER_SUB_,www.freebase.com/astronomy/asteroid_group/asteroid_group_members
40,_PLACEHOLDER_OBJ_ <- nsubj <- discovered -> dobj -> _PLACEHOLDER_SUB_,VERB,_PLACEHOLDER_OBJ_ discovered _PLACEHOLDER_SUB_,www.freebase.com/astronomy/astronomical_discovery/discoverer
41,_PLACEHOLDER_OBJ_ -> acl -> discovered -> nsubjpass -> planet -> appos -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ discovered planet _PLACEHOLDER_SUB_,www.freebase.com/astronomy/astronomical_discovery/discovery_organization
42,_PLACEHOLDER_OBJ_ -> acl -> discovered -> nsubjpass -> planet -> appos -> _PLACEHOLDER_SUB_,VERB ADP NOUN,_PLACEHOLDER_SUB_ discovered by site _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/astronomical_discovery/discovery_site
43,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> aperture -> appos -> camera -> prep -> at -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN NOUN ADP,_PLACEHOLDER_OBJ_ is aperture camera at _PLACEHOLDER_SUB_,www.freebase.com/astronomy/astronomical_observatory/telescope_s
44,_PLACEHOLDER_OBJ_ -> appos -> size -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_OBJ_ designated as _PLACEHOLDER_SUB_,www.freebase.com/astronomy/celestial_object/category
45,_PLACEHOLDER_OBJ_ <- nsubj <- is -> advcl -> formed -> prep -> during -> pobj -> Period -> poss -> _PLACEHOLDER_SUB_,VERB VERB ADP NOUN,_PLACEHOLDER_OBJ_ is formed during Period _PLACEHOLDER_SUB_,www.freebase.com/astronomy/celestial_object/locations
46,_PLACEHOLDER_OBJ_ <- dobj <- confers -> dobj -> status -> nmod -> _PLACEHOLDER_SUB_,ADP NOUN VERB VERB,_PLACEHOLDER_SUB_ of definition is confers _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/celestial_object_category/subcategory_of
47,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> body -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is body of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/comet/meteor_shower_spawned
48,_PLACEHOLDER_SUB_ <- nsubjpass <- located -> prep -> on -> pobj -> side -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP NOUN ADP,_PLACEHOLDER_SUB_ located on side of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/extraterrestrial_location/contains
49,_PLACEHOLDER_OBJ_ <- nsubj <- is -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is basin on _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/extraterrestrial_location/on_celestial_object
50,_PLACEHOLDER_SUB_ <- dobj <- called -> conj -> is -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ located southeast of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/extraterrestrial_location/type_of_planetographic_feature
51,_PLACEHOLDER_OBJ_ <- nsubj <- has -> conj -> is -> attr -> part -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB,_PLACEHOLDER_SUB_ is group includes _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/galactic_group/galaxies_in_group
52,_PLACEHOLDER_SUB_ <- acomp <- is -> nsubj -> galaxy -> appos -> years -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN NOUN ADP,_PLACEHOLDER_SUB_ is galaxy years in _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/galaxy/constellation
53,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> group -> relcl -> includes -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB,_PLACEHOLDER_OBJ_ is group includes _PLACEHOLDER_SUB_,www.freebase.com/astronomy/galaxy/galactic_group
54,_PLACEHOLDER_OBJ_ <- nsubj <- is -> ccomp -> discovered -> nsubjpass -> galaxy -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB VERB NOUN ADP,_PLACEHOLDER_OBJ_ is discovered galaxy of _PLACEHOLDER_SUB_,www.freebase.com/astronomy/galaxy/satellite_galaxies
55,_PLACEHOLDER_OBJ_ <- nsubj <- hosts -> dobj -> radiant -> prep -> of -> pobj -> meteor -> compound -> _PLACEHOLDER_SUB_,VERB ADJ ADP ADJ,_PLACEHOLDER_OBJ_ hosts radiant of meteor _PLACEHOLDER_SUB_,www.freebase.com/astronomy/meteor_shower/radiant
56,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> body -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is body of _PLACEHOLDER_SUB_,www.freebase.com/astronomy/meteor_shower/source_of_meteor_shower
57,_PLACEHOLDER_OBJ_ -> appos -> size -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,NOUN ADP,_PLACEHOLDER_OBJ_ size of _PLACEHOLDER_SUB_,www.freebase.com/astronomy/near_earth_object/near_earth_object_classification
58,_PLACEHOLDER_OBJ_ -> parataxis -> is -> attr -> moon -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB VERB ADP NOUN,_PLACEHOLDER_OBJ_ is affected by s _PLACEHOLDER_SUB_,www.freebase.com/astronomy/orbital_relationship/orbited_by
59,_PLACEHOLDER_SUB_ -> parataxis -> is -> attr -> moon -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ orbits _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/orbital_relationship/orbits
60,_PLACEHOLDER_SUB_ <- nsubj <- is -> ccomp -> discovered -> nsubjpass -> galaxy -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB VERB NOUN ADP,_PLACEHOLDER_SUB_ is discovered galaxy of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/satellite_galaxy/satellite_of_this_galaxy
61,_PLACEHOLDER_OBJ_ <- nsubj <- attracted -> prep -> because -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ forms star with _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star/constellation
62,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> planet -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is planet from _PLACEHOLDER_SUB_,www.freebase.com/astronomy/star/planet_s
63,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> system -> acl -> comprising -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB,_PLACEHOLDER_OBJ_ is system comprising _PLACEHOLDER_SUB_,www.freebase.com/astronomy/star/star_system
64,_PLACEHOLDER_OBJ_ <- nsubj <- been -> advcl -> being -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is star in _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star_system/constellation
65,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> largest -> conj -> planet -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB ADJ NOUN ADP,_PLACEHOLDER_OBJ_ is largest planet in _PLACEHOLDER_SUB_,www.freebase.com/astronomy/star_system/dwarf_planets
66,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> atmosphere -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB VERB ADP NOUN,_PLACEHOLDER_SUB_ designated distinguish from star _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star_system/planetary_system
67,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> atmosphere -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,ADP NOUN ADP VERB,_PLACEHOLDER_SUB_ in planets Among is _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star_system/planets
68,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> largest -> conj -> planet -> prep -> in -> pobj -> _PLACEHOLDER_SUB_,VERB ADJ NOUN ADP,_PLACEHOLDER_OBJ_ is largest planet in _PLACEHOLDER_SUB_,www.freebase.com/astronomy/star_system/plutoids
69,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> system -> acl -> comprising -> dobj -> _PLACEHOLDER_OBJ_,VERB NOUN VERB,_PLACEHOLDER_SUB_ is system comprising _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star_system/stars
70,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> atmosphere -> prep -> in -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is atmosphere in _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/star_system_body/star_system
71,_PLACEHOLDER_SUB_ -> appos -> telescope -> prep -> on -> pobj -> _PLACEHOLDER_OBJ_,NOUN ADP,_PLACEHOLDER_SUB_ telescope on _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/telescope/housed_in
72,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/telescope/type_of_telescope
73,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,VERB,_PLACEHOLDER_SUB_ is _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/telescope_principle_type/telescopic_classifications_of_this_technique
74,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> _PLACEHOLDER_OBJ_,NOUN VERB NOUN ADP,_PLACEHOLDER_SUB_ refracting is type of _PLACEHOLDER_OBJ_,www.freebase.com/astronomy/telescope_type/higher_classification
75,_PLACEHOLDER_SUB_ <- nsubjpass <- remembered -> dobj -> car -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ remembered car _PLACEHOLDER_OBJ_,www.freebase.com/automotive/company/make_s
76,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> company -> acl -> owned -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is company owned by _PLACEHOLDER_SUB_,www.freebase.com/automotive/company/manufacturing_plants
77,_PLACEHOLDER_OBJ_ <- nsubj <- won -> prep -> with -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN NOUN ADP,_PLACEHOLDER_SUB_ is car generation of _PLACEHOLDER_OBJ_,www.freebase.com/automotive/generation/models
78,_PLACEHOLDER_OBJ_ <- nsubjpass <- replaced -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ is designation for generation _PLACEHOLDER_OBJ_,www.freebase.com/automotive/generation/predecessor
79,_PLACEHOLDER_OBJ_ <- nsubj <- replaced -> dobj -> sedans -> compound -> _PLACEHOLDER_SUB_,VERB NOUN ADP NOUN,_PLACEHOLDER_OBJ_ is designation for generation _PLACEHOLDER_SUB_,www.freebase.com/automotive/generation/successor
80,_PLACEHOLDER_SUB_ <- nsubjpass <- remembered -> dobj -> car -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ remembered car _PLACEHOLDER_OBJ_,www.freebase.com/automotive/make/model_s
81,_PLACEHOLDER_OBJ_ <- nsubj <- announced -> ccomp -> was -> nsubj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ announced was _PLACEHOLDER_SUB_,www.freebase.com/automotive/make/parent_company
82,_PLACEHOLDER_SUB_ -> acl -> known -> prep -> as -> pobj -> _PLACEHOLDER_OBJ_,VERB ADP,_PLACEHOLDER_SUB_ known as _PLACEHOLDER_OBJ_,www.freebase.com/automotive/manufacturing_plant/company
83,_PLACEHOLDER_SUB_ -> ccomp -> was -> attr -> _PLACEHOLDER_OBJ_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ had replacement in class _PLACEHOLDER_OBJ_,www.freebase.com/automotive/model/automotive_class
84,_PLACEHOLDER_OBJ_ <- nsubj <- announced -> ccomp -> discontinued -> nsubjpass -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ was model _PLACEHOLDER_OBJ_,www.freebase.com/automotive/model/make
85,_PLACEHOLDER_OBJ_ -> conj -> restyled -> conj -> called -> oprd -> _PLACEHOLDER_SUB_,NOUN VERB PROPN,_PLACEHOLDER_SUB_ model discontinuing Pickup _PLACEHOLDER_OBJ_,www.freebase.com/automotive/model/predecessor
86,_PLACEHOLDER_OBJ_ <- dobj <- offers -> prep -> alongside -> pobj -> _PLACEHOLDER_SUB_,NOUN VERB PROPN,_PLACEHOLDER_OBJ_ model discontinuing Pickup _PLACEHOLDER_SUB_,www.freebase.com/automotive/model/related_models
87,_PLACEHOLDER_OBJ_ -> appos -> change -> prep -> from -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN ADP,_PLACEHOLDER_OBJ_ is successor to _PLACEHOLDER_SUB_,www.freebase.com/automotive/model/successor
88,_PLACEHOLDER_OBJ_ <- nsubj <- decided -> xcomp -> replace -> dobj -> _PLACEHOLDER_SUB_,VERB VERB,_PLACEHOLDER_OBJ_ decided replace _PLACEHOLDER_SUB_,www.freebase.com/automotive/privately_owned_vehicle/make
89,_PLACEHOLDER_SUB_ <- nsubj <- was -> attr -> spaceplane -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN,_PLACEHOLDER_SUB_ was spaceplane _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft/model
90,_PLACEHOLDER_OBJ_ <- nsubj <- was -> attr -> aircraft -> acl -> developed -> agent -> by -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ was aircraft developed by _PLACEHOLDER_SUB_,www.freebase.com/aviation/aircraft_manufacturer/aircraft_models_made
91,_PLACEHOLDER_OBJ_ <- nsubjpass <- known <- ccomp <- include -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is aircraft _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/aircraft_type
92,_PLACEHOLDER_SUB_ -> acl -> designated -> conj -> was -> attr -> version -> prep -> of -> pobj -> _PLACEHOLDER_OBJ_,VERB VERB NOUN ADP,_PLACEHOLDER_SUB_ designated was version of _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/comparable_aircraft
93,_PLACEHOLDER_OBJ_ <- nsubj <- announced -> dobj -> generation -> prep -> of -> pobj -> _PLACEHOLDER_SUB_,VERB ADP,_PLACEHOLDER_SUB_ designed by _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/designed_by
94,_PLACEHOLDER_OBJ_ <- nsubj <- is -> attr -> engine -> acl -> used -> prep -> on -> pobj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_OBJ_ is engine used on _PLACEHOLDER_SUB_,www.freebase.com/aviation/aircraft_model/engine_type
95,_PLACEHOLDER_OBJ_ -> ccomp -> proposed -> conj -> built -> dobj -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_SUB_ is aircraft _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/manufacturer
96,_PLACEHOLDER_SUB_ <- nsubj <- introduced -> dobj -> _PLACEHOLDER_OBJ_,NOUN VERB ADP NOUN,_PLACEHOLDER_SUB_ fleet consisted of aircraft _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/number_owned_by
97,_PLACEHOLDER_OBJ_ <- nsubjpass <- replaced -> appos -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ was aircraft developed from _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/parent_aircraft_model
98,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> member -> prep -> of -> pobj -> family -> compound -> _PLACEHOLDER_OBJ_,VERB NOUN ADP NOUN,_PLACEHOLDER_SUB_ is member of family _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/part_of_line
99,_PLACEHOLDER_SUB_ <- nsubjpass <- developed -> prep -> from -> pobj -> bomber -> compound -> _PLACEHOLDER_OBJ_,VERB ADP NOUN,_PLACEHOLDER_SUB_ developed from bomber _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_model/variants
100,_PLACEHOLDER_OBJ_ -> conj -> were -> advcl -> was -> nsubj -> _PLACEHOLDER_SUB_,VERB NOUN VERB ADP,_PLACEHOLDER_SUB_ is aircraft used by _PLACEHOLDER_OBJ_,www.freebase.com/aviation/aircraft_owner/aircraft_fleet_composition
101,_PLACEHOLDER_OBJ_ -> ccomp -> was -> attr -> flight -> compound -> _PLACEHOLDER_SUB_,VERB NOUN,_PLACEHOLDER_OBJ_ was flight _PLACEHOLDER_SUB_,www.freebase.com/aviation/airline/accidents
102,_PLACEHOLDER_SUB_ <- nsubj <- is -> attr -> hub -> prep -> for -> pobj -> _PLACEHOLDER_OBJ_,VERB NOUN ADP,_PLACEHOLDER_SUB_ is hub for _PLACEHOLDER_OBJ_,www.freebase.com/aviation/airline/airports_served
